1_1_1,108_20_13
1_1_2,108_8_10
1_1_3,106_15_3
1_1_4,101_11_17
1_1_5,107_19_9
1_1_6,103_16_1
1_1_7,109_11_15
1_1_8,101_18_13
1_1_9,104_8_2
1_1_10,107_16_10
1_1_11,104_13_7
1_1_12,103_19_13
1_1_13,109_1_13
1_1_14,106_2_11
1_1_15,109_20_11
1_1_16,106_9_15
1_1_17,101_3_14
1_1_18,108_7_14
1_1_19,106_20_3
1_1_20,102_3_20
1_2_1,104_19_14
1_2_2,105_6_16
1_2_3,109_5_6
1_2_4,105_6_10
1_2_5,102_8_1
1_2_6,103_2_3
1_2_7,106_2_2
1_2_8,105_5_7
1_2_9,105_5_7
1_2_10,109_4_6
1_2_11,109_4_6
1_2_12,110_5_3
1_2_13,104_6_16
1_2_14,105_3_4
1_2_15,110_15_5
1_2_16,104_20_7
1_2_17,108_10_13
1_2_18,107_13_9
1_2_19,110_16_19
1_2_20,105_19_6
1_3_1,105_1_4
1_3_2,108_18_17
1_3_3,101_2_2
1_3_4,107_8_8
1_3_5,103_14_12
1_3_6,110_5_2
1_3_7,108_10_10
1_3_8,102_15_9
1_3_9,101_14_3
1_3_10,107_4_13
1_3_11,106_15_19
1_3_12,103_8_1
1_3_13,103_8_1
1_3_14,101_13_5
1_3_15,107_13_8
1_3_16,101_5_15
1_3_17,109_13_9
1_3_18,105_17_2
1_3_19,108_10_17
1_3_20,109_14_20
1_4_1,105_19_6
1_4_2,104_5_1
1_4_3,109_7_1
1_4_4,108_1_6
1_4_5,109_15_16
1_4_6,102_15_4
1_4_7,108_17_11
1_4_8,109_9_18
1_4_9,105_5_2
1_4_10,104_1_6
1_4_11,106_17_12
1_4_12,107_19_14
1_4_13,109_19_15
1_4_14,105_15_12
1_4_15,104_4_15
1_4_16,108_6_13
1_4_17,106_16_13
1_4_18,106_9_8
1_4_19,106_14_13
1_4_20,105_18_8
1_5_1,108_16_8
1_5_2,104_16_17
1_5_3,109_6_2
