1_6_1,107_7_3
1_6_2,109_18_9
1_6_3,105_2_9
1_6_4,108_2_6
1_6_5,101_11_8
1_6_6,105_1_7
1_6_7,106_3_4
1_6_8,105_3_8
1_6_9,110_7_7
1_6_10,109_20_4
1_6_11,106_9_11
1_6_12,106_9_11
1_6_13,106_2_19
1_6_14,110_11_5
1_6_15,101_16_4
1_6_16,101_6_6
1_6_17,108_11_5
1_6_18,109_11_19
1_6_19,105_3_18
1_6_20,101_4_20
1_7_1,105_7_5
1_7_2,101_7_18
1_7_3,108_9_9
1_7_4,108_2_2
1_7_5,101_6_7
1_7_6,110_2_1
1_7_7,103_7_19
1_7_8,105_6_6
1_7_9,101_6_7
1_7_10,107_12_2
1_7_11,107_12_2
1_7_12,107_5_18
1_7_13,105_7_8
1_7_14,101_2_11
1_7_15,109_6_13
1_7_16,108_12_19
1_7_17,110_7_19
1_7_18,109_17_15
1_7_19,105_16_3
1_7_20,109_5_20
1_8_1,104_9_4
1_8_2,107_9_17
1_8_3,102_4_6
1_8_4,102_14_19
1_8_5,110_8_19
1_8_6,103_3_12
1_8_7,102_4_8
1_8_8,106_9_3
1_8_9,106_16_6
1_8_10,110_4_1
1_8_11,102_8_5
1_8_12,109_3_12
1_8_13,102_19_13
1_8_14,104_3_10
1_8_15,109_3_12
1_8_16,107_18_4
1_8_17,107_18_5
1_8_18,101_3_14
1_8_19,104_3_7
1_8_20,104_8_20
1_9_1,104_15_9
1_9_2,108_20_1
1_9_3,108_4_19
1_9_4,102_18_17
1_9_5,101_3_5
1_9_6,110_13_13
1_9_7,101_14_17
1_9_8,101_6_7
1_9_9,106_14_13
1_9_10,108_11_5
1_9_11,107_5_1
1_9_12,104_10_18
1_9_13,109_2_8
1_9_14,102_3_16
1_9_15,101_8_5
1_9_16,101_13_9
1_9_17,107_14_7
1_9_18,108_9_11
1_9_19,105_13_13
1_9_20,107_8_20
1_10_1,110_16_14
1_10_2,104_1_4
1_10_3,101_14_16
1_10_4,102_2_12
1_10_5,110_14_7
1_10_6,101_9_16
1_10_7,107_18_11
1_10_8,107_6_4
1_10_9,109_17_2
1_10_10,102_16_1
1_10_11,105_5_14
1_10_12,109_16_14
1_10_13,103_15_13
1_10_14,104_19_13
1_10_15,107_2_13
1_10_16,108_7_12
1_10_17,109_5_5
1_10_18,108_16_19
1_10_19,110_5_8
1_10_20,102_10_20
1_11_1,110_15_15
1_11_2,107_13_3
1_11_3,105_8_12
1_11_4,110_14_3
1_11_5,108_11_8
1_11_6,108_8_1
1_11_7,104_6_4
1_11_8,105_7_19
1_11_9,107_13_10
1_11_10,110_8_14
1_11_11,107_5_8
1_11_12,106_10_18
1_11_13,106_19_15
1_11_14,110_15_14
1_11_15,106_20_19
1_11_16,104_7_7
1_11_17,104_6_7
1_11_18,104_11_14
1_11_19,108_16_6
1_11_20,103_10_20
1_12_1,101_7_2
1_12_2,109_19_2
1_12_3,110_7_3
1_12_4,110_12_6
1_12_5,107_12_7
1_12_6,109_3_13
1_12_7,107_16_2
1_12_8,102_7_4
1_12_9,107_19_7
1_12_10,106_9_5
1_12_11,110_10_17
1_12_12,103_12_18
1_12_13,106_4_4
1_12_14,102_15_18
1_12_15,108_5_15
1_12_16,110_20_18
1_12_17,105_3_7
1_12_18,104_3_19
1_12_19,102_2_5
1_12_20,105_8_20
1_13_1,104_3_1
1_13_2,107_12_2
1_13_3,101_16_5
1_13_4,107_7_9
1_13_5,104_13_14
1_13_6,101_3_14
1_13_7,110_8_19
1_13_8,101_3_17
1_13_9,106_13_4
1_13_10,101_15_2
1_13_11,104_3_14
1_13_12,108_13_12
1_13_13,102_5_2
1_13_14,104_3_14
1_13_15,108_3_17
1_13_16,109_16_8
1_13_17,110_3_18
1_13_18,105_9_19
1_13_19,108_10_10
1_13_20,108_17_20
1_14_1,104_16_5
1_14_2,104_10_18
1_14_3,103_20_17
1_14_4,109_4_5
1_14_5,108_4_16
1_14_6,108_4_16
1_14_7,106_19_8
1_14_8,103_19_14
1_14_9,108_14_7
1_14_10,104_3_6
1_14_11,105_13_15
1_14_12,110_13_7
1_14_13,104_11_4
1_14_14,104_10_11
1_14_15,101_14_13
1_14_16,101_16_5
1_14_17,103_9_18
1_14_18,108_14_7
1_14_19,108_13_12
1_14_20,109_6_20
1_15_1,102_20_6
1_15_2,101_19_5
1_15_3,107_15_6
1_15_4,109_6_11
1_15_5,104_19_5
1_15_6,101_4_7
1_15_7,104_15_6
1_15_8,107_13_7
1_15_9,104_19_3
1_15_10,101_8_10
1_15_11,103_11_6
1_15_12,102_17_11
1_15_13,106_6_1
1_15_14,101_5_8
1_15_15,104_16_19
1_15_16,105_3_7
1_15_17,106_1_7
1_15_18,104_5_1
1_15_19,110_9_4
1_15_20,106_2_20
1_16_1,109_15_3
1_16_2,109_14_9
1_16_3,102_20_17
1_16_4,101_6_2
1_16_5,101_12_4
1_16_6,107_5_2
1_16_7,101_10_18
1_16_8,109_1_6
1_16_9,101_1_17
1_16_10,104_1_18
1_16_11,110_3_12
1_16_12,110_20_12
1_16_13,110_8_14
1_16_14,105_13_4
1_16_15,106_16_9
1_16_16,108_6_5
1_16_17,109_7_16
1_16_18,106_15_5
1_16_19,103_6_17
1_16_20,106_5_20
1_17_1,108_11_1
1_17_2,105_16_3
1_17_3,102_10_17
1_17_4,102_1_1
1_17_5,107_13_17
1_17_6,110_9_16
1_17_7,105_5_5
1_17_8,102_10_6
1_17_9,104_7_1
1_17_10,106_10_4
1_17_11,108_6_15
1_17_12,109_6_13
1_17_13,103_3_6
1_17_14,105_20_6
1_17_15,101_2_9
1_17_16,106_12_10
1_17_17,105_2_3
1_17_18,108_12_17
1_17_19,109_10_9
1_17_20,106_2_20
1_18_1,109_7_9
1_18_2,104_3_3
1_18_3,103_3_12
1_18_4,108_13_3
1_18_5,105_6_2
1_18_6,109_10_2
1_18_7,109_3_15
1_18_8,109_7_12
1_18_9,109_7_12
1_18_10,105_14_11
1_18_11,109_8_10
1_18_12,107_3_18
1_18_13,106_20_7
1_18_14,104_8_1
1_18_15,106_11_18
1_18_16,104_8_17
1_18_17,108_9_8
1_18_18,103_19_8
1_18_19,106_10_18
1_18_20,102_5_20
1_19_1,106_8_11
1_19_2,103_11_10
1_19_3,102_4_5
1_19_4,104_10_6
1_19_5,102_4_18
1_19_6,103_13_12
1_19_7,110_20_8
1_19_8,110_15_9
1_19_9,109_9_15
1_19_10,107_20_19
1_19_11,103_4_8
1_19_12,107_19_17
1_19_13,108_13_19
1_19_14,103_16_12
1_19_15,101_16_4
1_19_16,106_19_8
1_19_17,103_12_6
1_19_18,101_14_17
1_19_19,105_10_16
1_19_20,102_8_20
1_20_1,104_1_14
1_20_2,103_18_9
1_20_3,104_3_6
1_20_4,108_19_11
1_20_5,104_3_14
1_20_6,101_20_7
1_20_7,110_16_14
1_20_8,104_20_14
1_20_9,109_11_17
1_20_10,108_17_8
1_20_11,104_11_14
1_20_12,109_1_10
1_20_13,107_9_19
1_20_14,107_6_14
1_20_15,106_5_11
1_20_16,104_11_14
1_20_17,110_3_8
1_20_18,103_1_7
1_20_19,104_10_3
1_20_20,102_16_20
2_1_1,108_11_1
2_1_2,104_12_10
2_1_3,109_20_5
2_1_4,108_1_2
2_1_5,109_7_16
2_1_6,104_13_18
2_1_7,108_15_6
2_1_8,106_20_19
2_1_9,107_10_14
2_1_10,106_3_10
2_1_11,101_15_16
2_1_12,104_8_17
2_1_13,107_14_11
2_1_14,109_11_10
2_1_15,105_16_10
2_1_16,103_19_18
2_1_17,103_20_3
2_1_18,102_16_1
2_1_19,102_16_1
2_1_20,103_9_20
2_2_1,103_7_5
2_2_2,110_7_4
2_2_3,110_13_7
2_2_4,106_5_7
2_2_5,109_7_4
2_2_6,102_20_6
2_2_7,110_6_1
2_2_8,109_4_12
2_2_9,105_2_18
2_2_10,107_10_3
2_2_11,105_16_3
2_2_12,109_16_17
2_2_13,102_19_15
2_2_14,104_18_13
2_2_15,103_20_10
2_2_16,108_7_13
2_2_17,108_12_16
2_2_18,102_2_14
2_2_19,104_20_14
2_2_20,108_5_20
2_3_1,110_13_3
2_3_2,104_18_6
2_3_3,103_13_7
2_3_4,103_5_12
2_3_5,108_14_4
2_3_6,102_19_5
2_3_7,106_19_5
2_3_8,109_18_4
2_3_9,102_10_19
2_3_10,110_16_10
2_3_11,110_8_8
2_3_12,101_8_9
2_3_13,106_17_13
2_3_14,110_6_11
2_3_15,110_6_11
2_3_16,110_16_6
2_3_17,109_14_9
2_3_18,101_13_19
2_3_19,105_5_7
2_3_20,104_3_20
2_4_1,102_13_3
2_4_2,101_14_18
2_4_3,110_5_2
2_4_4,104_19_16
2_4_5,106_17_17
2_4_6,107_13_18
2_4_7,107_3_7
2_4_8,102_4_5
2_4_9,103_9_19
2_4_10,103_9_19
2_4_11,110_19_14
2_4_12,105_14_7
2_4_13,105_7_14
2_4_14,110_8_18
2_4_15,109_11_10
2_4_16,109_18_17
2_4_17,105_15_19
2_4_18,103_2_18
2_4_19,108_10_1
2_4_20,110_6_20
2_5_1,102_5_3
2_5_2,104_9_10
2_5_3,108_11_10
2_5_4,101_1_17
2_5_5,108_20_2
2_5_6,101_11_4
2_5_7,107_15_3
2_5_8,108_19_14
2_5_9,103_5_1
2_5_10,101_1_13
2_5_11,105_2_6
2_5_12,103_6_13
2_5_13,107_20_13
2_5_14,108_15_5
2_5_15,105_15_7
2_5_16,110_16_13
2_5_17,107_12_7
2_5_18,108_12_2
2_5_19,107_20_14
2_5_20,105_9_20
2_6_1,101_16_4
2_6_2,103_20_19
2_6_3,110_8_14
2_6_4,103_15_6
2_6_5,108_2_2
2_6_6,102_17_19
2_6_7,108_10_18
2_6_8,109_7_8
2_6_9,110_20_2
2_6_10,105_5_18
2_6_11,103_11_6
2_6_12,103_9_19
2_6_13,108_20_2
2_6_14,108_4_14
2_6_15,102_17_6
2_6_16,107_4_7
2_6_17,106_11_5
2_6_18,110_6_2
2_6_19,103_9_19
2_6_20,104_1_20
2_7_1,109_17_4
2_7_2,101_19_7
2_7_3,109_15_6
2_7_4,108_14_12
2_7_5,107_12_2
2_7_6,106_18_7
2_7_7,101_16_12
2_7_8,101_12_2
2_7_9,110_3_9
2_7_10,110_13_3
2_7_11,110_7_4
2_7_12,101_2_7
2_7_13,105_10_6
2_7_14,109_7_16
2_7_15,102_5_11
2_7_16,102_16_11
2_7_17,101_1_10
2_7_18,106_11_4
2_7_19,102_7_16
2_7_20,106_13_20
2_8_1,104_15_6
2_8_2,102_14_3
2_8_3,102_19_4
2_8_4,102_9_18
2_8_5,110_20_6
2_8_6,110_6_9
2_8_7,104_8_18
2_8_8,109_4_10
2_8_9,108_18_10
2_8_10,110_17_18
2_8_11,110_8_13
2_8_12,101_8_9
2_8_13,110_3_4
2_8_14,103_10_15
2_8_15,103_10_14
2_8_16,103_13_18
2_8_17,110_13_4
2_8_18,104_13_14
2_8_19,107_9_14
2_8_20,102_14_20
2_9_1,106_17_11
2_9_2,101_14_17
2_9_3,102_13_3
2_9_4,103_12_1
2_9_5,105_13_9
2_9_6,108_17_19
2_9_7,103_19_18
2_9_8,106_16_19
2_9_9,103_6_18
2_9_10,102_19_2
2_9_11,102_20_9
2_9_12,109_19_18
2_9_13,108_3_10
2_9_14,105_7_5
2_9_15,105_8_19
2_9_16,101_8_18
2_9_17,110_1_1
2_9_18,108_18_19
2_9_19,105_15_19
2_9_20,102_1_20
2_10_1,109_15_3
2_10_2,110_19_13
2_10_3,109_1_2
2_10_4,104_9_4
2_10_5,102_19_17
2_10_6,108_4_16
2_10_7,108_20_13
2_10_8,104_13_9
2_10_9,110_7_7
2_10_10,106_1_15
2_10_11,101_10_11
2_10_12,108_19_15
2_10_13,107_3_15
2_10_14,107_1_12
2_10_15,105_13_18
2_10_16,105_13_18
2_10_17,105_19_14
2_10_18,106_16_5
2_10_19,110_16_5
2_10_20,104_9_20
2_11_1,104_10_3
2_11_2,103_17_5
2_11_3,104_13_18
2_11_4,110_6_4
2_11_5,102_1_2
2_11_6,101_11_4
2_11_7,109_16_18
2_11_8,103_1_3
2_11_9,102_10_9
2_11_10,106_19_5
2_11_11,104_6_14
2_11_12,110_12_19
2_11_13,104_15_10
2_11_14,110_11_9
